game,480p,720p,1080i,16x9,480p_patches,720p_patches,16:9_patches,issue_num,issue_desc,fix_num,fix_desc,Game Available,Prebuilt Patch,480p patch,16:9 patch,720p patch,720p 16:9 patch,Game Specific patches
Bloody Roar: Extreme,y,n,,,NA,y,y,,,18; 22,"Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen; 
Working by force default.xbe to display the game in 720p (by using hex codes) and also widescreen (may need RAM or CPU upgrade to work and still might show minor graphical bugs) 
",y,,NA,y,y,y,y
BlowOut,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,y
Broken Sword: The Sleeping Dragon,n,n,,Yes,y,,NA,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,n,y,,y,y,y,n
Call of Cthulhu: Dark Corners of the Earth,y,n,,,NA,y,y,,,18; 22,"Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen; 
Working by force default.xbe to display the game in 720p (by using hex codes) and also widescreen (may need RAM or CPU upgrade to work and still might show minor graphical bugs) 
",y,,NA,y,partial,y,n
Castlevania: Curse of Darkness,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,y
Catwoman,n,n,,Yes,y,,NA,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,y,,y,y,y,n
Charlie and the Chocolate Factory,y,n (label has incorrect info),,,NA,,n,4,The box art has an error that lists its max resolution as 720p when it is really 480p.,,,y,,NA,y,y,y,n
Chessmaster 10th Edition,n,n,,Yes,y,,NA,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,n,y,,y,y,y,n
Codename: Kids Next Door - Operation: V.I.D.E.O.G.A.M.E.,y,n,,Yes,NA,,NA,4,The box art has an error that lists its max resolution as 720p when it is really 480p.,,,n,,NA,,,,
Cold Fear,y,n,,Yes,NA,,NA,4,The box art has an error that lists its max resolution as 720p when it is really 480p.,,,n,,NA,,,,
Colin McRae Rally 3,n,n,,Yes,y,,NA,,,,,y,y,,y,y,y,n
Conker: Live & Reloaded,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,n
Crash Bandicoot: The Wrath of Cortex,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,partial,y,y
Crash Nitro Kart,y,y (30fps limit),,Yes,NA,NA,NA,23,Game runs at 30fps when set to 720p. ,,,y,,NA,y,y,y,n
Crash Team Racing,y,n,,Vert- crop,NA,,n,1,"Uses the vert- method, meaning the top and bottom of the 4:3 image are actually cropped, meaning less visible viewing area than when played in 4:3. ",18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,n
Crazy Taxi 3: High Roller,Y – with some issues,n,,Yes,?,,y,12,Certain graphics may look distorted at 480p. ,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,n
Crimson Sea,y,n,,Yes,?,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,n,,NA,,,,
Crimson Skies: High Road to Revenge ,y,n,,Yes,?,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,n
Dakar 2: The World's Ultimate Rally ,n,n,,Yes,y,,NA,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,n,y,,y,partial,n,n
Darkwatch,n,n,,No,y,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,n,y,,y,y,y,partial
Dead or Alive 3,y,n,,Mostly,NA,,n,13,"Most 2D graphics (text, icons and fighter's pictures) are not adjusted for 4:3, they have the same measures in both 4:3 and 16:9.",18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,partial,y,n
Dead or Alive Ultimate ,y,n,,Partial; Mostly,NA,,n,13; 14,"Most 2D graphics (text, icons and fighter's pictures) are not adjusted for 4:3, they have the same measures in both 4:3 and 16:9.; 
Only Dead or Alive 2 Ultimate is capable of displaying widescreen.",,,y,,NA,n,n,n,NA
Dead to Rights II,n,n,,Yes,y,,NA,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,y,,y,y,y,n
Def Jam: Fight for NY,y,n,,Yes,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,n
Dino Crisis 3,y,n,,Yes,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,y
Drake of the 99 Dragons,y,n,,Yes,NA,y,NA,,,22,Working by force default.xbe to display the game in 720p (by using hex codes) and also widescreen (may need RAM or CPU upgrade to work and still might show minor graphical bugs),n,,NA,,,,
Enter the Matrix,y,y (scaled from 480p),y (scaled from 480p),Yes,NA,,NA,25; 26,"720p mode is 720p upscaled from 480p; 
1080i mode is 1080i upscaled from 480p.",,,y,,NA,y,y,y,n
Eragon,y,n,,Yes,NA,,NA,4,The box art has an error that lists its max resolution as 720p when it is really 480p.,,,n,,NA,,,,
ESPN Major League Baseball,y,n,,Yes,NA,y (16x9 only),NA,,,21,Output 720p only in 16:9 (widescreen),n,,NA,,,,
ESPN NFL 2k5,y?,n,n (see issues),Yes,NA,,NA,,,,,n,y?,NA,,,,
ESPN NFL Football,y,n,,Yes,NA,,NA,4,The box art has an error that lists its max resolution as 720p when it is really 480p.,,,n,,NA,,,,
Fable: The Lost Chapters,y,n,,Yes,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,n
Fallout: Brotherhood of Steel,y,n,,Yes,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,partial
Family Guy Video Game!,n,n,,Yes,n,,NA,,,,,y,y,,y,y,y,n
Fatal Frame,y,n,,Yes,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,y
Fatal Frame II: Crimson Butterfly,y,n,,Yes,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,y
Final Fight: Streetwise,n,n,,No,y,,broken (use 4x3),19,Broken implementation. Set Xbox to 4:3 instead.,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,y,,y,y,y,y
FlatOut,y,n,,,n,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,n
Ford Bold Moves Street Racing,y,n,,Yes,NA,,NA,4,The box art has an error that lists its max resolution as 720p when it is really 480p.,,,y,,NA,y,y,y,n
Freestyle MetalX,y,n,,No,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,y,NA,y,y,y,n
Futurama,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,n
Future Tactics: The Uprising,y,n,,Yes,NA,,NA,4,The box art has an error that lists its max resolution as 720p when it is really 480p.,,,n,,NA,,,,
Gauntlet: Seven Sorrows,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,n
Ghost Master: The Gravenville Chronicles,y,n,,Yes,NA,y,NA,,,22,Working by force default.xbe to display the game in 720p (by using hex codes) and also widescreen (may need RAM or CPU upgrade to work and still might show minor graphical bugs),n,,NA,,,,
Grabbed by the Ghoulies,y,n,,Mostly,NA,,n,7," When this game is played in widescreen, the title demo, cinematics, and menus are presented in a 4:3 fashion although the game is actually presented in 16:9, this is normal.",,,n,,NA,,,,
Grand Theft Auto III,y,n,,Vert- crop,NA,,n,1,"Uses the vert- method, meaning the top and bottom of the 4:3 image are actually cropped, meaning less visible viewing area than when played in 4:3. ",,,y,,NA,y,y,y,y
Grand Theft Auto: San Andreas,y,n,,Vert- crop,NA,,n,1,"Uses the vert- method, meaning the top and bottom of the 4:3 image are actually cropped, meaning less visible viewing area than when played in 4:3. ",,,y,,NA,y,y,y,n
Grand Theft Auto: Vice City ,y,n,,Vert- crop,NA,,n,1,"Uses the vert- method, meaning the top and bottom of the 4:3 image are actually cropped, meaning less visible viewing area than when played in 4:3. ",,,y,,NA,y,y,y,n
Halo: Combat Evolved,y,n,,,NA,,y,15,"PAL version lacks proper PAL60 support, causing judder when this option is selected in the dashboard.",18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,y
Headhunter Redemption,n,n,,No,y,,n,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,n,y,,y,y,y,n
High Rollers Casino,?,,,,,,,,,EXTERNAL LIST,EXTERNAL LSIT,n,y,,y,y,y,n
Hitman 2: Silent Assassin,n,n,,No,y,,n,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,y,,y,y,y,n
Hitman: Contracts ,n,n,,No,y,,n,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,y,,y,y,y,partial
Hunter – The Reckoning,y,n,,No,NA,,n,,,,,y,y,NA,y,y,y,y
I-Ninja,n,n,,Yes,,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,y,NA,y,y,y,partial
IndyCar Series,?,,,,,,,,,EXTERNAL LIST,EXTERNAL LSIT,n,y,,y,y,y,n
Jet Set Radio Future,y,n,,,NA,y,y,,,18; 22,"Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen; 
Working by force default.xbe to display the game in 720p (by using hex codes) and also widescreen (may need RAM or CPU upgrade to work and still might show minor graphical bugs) 
",y,,NA,y,y,y,n
Kill Switch,y,n,,Vert- crop,NA,y,partial fix,1,"Uses the vert- method, meaning the top and bottom of the 4:3 image are actually cropped, meaning less visible viewing area than when played in 4:3. ",22,Working by force default.xbe to display the game in 720p (by using hex codes) and also widescreen (may need RAM or CPU upgrade to work and still might show minor graphical bugs),y,,NA,y,y,y,n
Kung Fu Chaos,n,n,,,y,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,CHECK,y,y,y,n
Leisure Suit Larry: Magna Cum Laude,y,n,,No,NA,,n,,,,,y,y,NA,y,y,y,n
Madagascar,n,n,,No,y,,?,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,n,y,,y,y,y,n
Manhunt ,n,n,,No,y,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,y,,y,y,y,partial
Marvel vs. Capcom 2,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,y
Marvel vs SNK eo2,?,,,,,,,,,,,,,,y,y,y,partial
Mashed Drive to Survive,?,,,,,,,,,,,y,,,y,y,y,n
Mashed: Fully Loaded,n,n,,Yes,y,,NA,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,y,,y,y,y,n
Max Payne 2: The Fall of Max Payne,y,n,,Vert- crop,NA,,n,1,"Uses the vert- method, meaning the top and bottom of the 4:3 image are actually cropped, meaning less visible viewing area than when played in 4:3. ",,,y,,NA,y,y,y,n
MechAssault 2: Lone Wolf,y,n,,Vert- crop; Horz + expansion,NA,,n,28,"Uses a combination of hor+ and vert- methods, meaning the top and bottom of the 4:3 image are cropped, and the left and right sides are expanded.",,,y,,NA,n,n,n,NA
Medal of Honor: Frontline,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,n
Medal of Honor: Rising Sun,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,partial
Metal Arms: Glitch in the System,y,n,,,NA,y,n,,,22,Working by force default.xbe to display the game in 720p (by using hex codes) and also widescreen (may need RAM or CPU upgrade to work and still might show minor graphical bugs),y,,NA,y,y,y,n
Metal Gear Solid 2: Substance ,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,y
Metal Slug 3,n,n,,No (actually 4x3),y,,?,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,y,,n,y,n,n
Metal Wolf Chaos,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,n,,NA,,,,
Midtown Madness 3,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,y
MLB Slugfest 20-03,?,,,,,,,,,EXTERNAL LIST,EXTERNAL LSIT,n,y,,y,y,y,n
MLB Slugfest 20-04,?,,,,,,,,,EXTERNAL LIST,EXTERNAL LSIT,n,y,,y,y,y,n
NFL Pro Blitz,?,,,?,,,,,,,,,y,,,,,
Mortal Kombat: Deadly Alliance,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,n
Mortal Kombat: Shaolin Monks,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,n
Motocross Mania 3,n,n,,Yes,y,,NA,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,n,y,,y,y,y,n
MTV Celebrity Deathmatch,n,n,,,y,,n,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,CHECK,y,y,y,n
Need for Speed: Underground,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,y
Need for Speed: Underground 2,y,n,,Vert- crop; Horz – crop (zoomed in),NA,,y,2,"Uses a ""zoomed-in"" widescreen(vert- and hor-), meaning less vertical and horizontal viewing area than in 4:3 mode.",18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,n
Ninja Gaiden Black,y,n,,Vert- crop; Horz + expansion,NA,,n,28,"Uses a combination of hor+ and vert- methods, meaning the top and bottom of the 4:3 image are cropped, and the left and right sides are expanded.",,,y,,NA,y,y,y,n
ObsCure,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,n,,NA,,,,
Otogi 2: Immortal Warriors,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,y
Otogi: Myth of Demons,y,n,,,NA,y,y,,,18; 22,"Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen; 
Working by force default.xbe to display the game in 720p (by using hex codes) and also widescreen (may need RAM or CPU upgrade to work and still might show minor graphical bugs) 
",y,,NA,y,y,y,n
OutRun 2,y,n,,Yes for Main Game,NA,,n,3,Outrun Arcade is displayed in 4:3.,,,y,,NA,y,y,y,n
Over the Hedge,?,,,,,,,,,EXTERNAL LIST,EXTERNAL LSIT,n,y,,y,y,y,n
Painkiller: Hell Wars,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,partial
Panzer Dragoon Orta,Y – But issues with 1.6b,n,,Yes,n,,n,17,"The game will only display 480p resolution on model version 1.6 or lower of the Xbox, playing on model version 1.6b will result in a blurry and/or distorted screen, making it unplayable. This problem can be solved by disabling 480p in the system settings. This problem can also occur on the Xbox 360.",,,y,,NA,y,y,y,n
Pariah,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,n
Phantom Dust,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,partial
Prince of Persia: The Sands of Time,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,y
Prince of Persia: The Two Thrones,y,n,,Vert+ crop; Horz + crop (zoomed out),NA,,n,29,"Uses a combination of hor+ and vert+ methods, meaning the top and bottom of the 4:3 image are expanded, and the left and right sides are expanded far more. A 'zoom-out' effect.",,,y,,NA,y,y,y,n
Prince of Persia: Warrior Within ,y,n,,Vert+ crop; Horz + crop (zoomed out),NA,,n,29,"Uses a combination of hor+ and vert+ methods, meaning the top and bottom of the 4:3 image are expanded, and the left and right sides are expanded far more. A 'zoom-out' effect. ",,,y,,NA,y,y,y,n
Project Gotham Racing,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,y
Psychonauts,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,n
Puyo Pop Fever,n,n,,No,y,,?,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,n,y,,y,y,y,n
Real World Golf,?,,,,,,,,,EXTERNAL LIST,EXTERNAL LSIT,n,y,,y,y,y,n
Return to Castle Wolfenstein: Tides of War,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,y
Richard Burns Rally,y,n,,No,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,n,y,NA,y,y,y,n
Scooby-Doo! Mystery Mayhem,n,n,,,y,,?,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,,y,y,y,n
Scooby-Doo! Night of 100 Frights,n,n,,,y,,?,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,,y,y,y,n
Sega GT 2002,y,n,,Yes (menus in 4x3),NA,,n,8,"Although the game is presented in widescreen and even videos are adjusted to display properly, the menus are not. The menus' real aspect ratio is always 4:3.",,,y,,NA,y,y,y,n
Serious Sam,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,y
Serious Sam II,y,n,,,NA,y,y,,,18; 22,"Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen; 
Working by force default.xbe to display the game in 720p (by using hex codes) and also widescreen (may need RAM or CPU upgrade to work and still might show minor graphical bugs) 
",y,,NA,y,y,y,y
Shellschock NAM’67,n,n,,Yes,n,,NA,,,,,n,,,y,y,y,n
Shenmue II,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,y
Silent Hill 2,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,y
Silent Hill 4: The Room,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,y
Ski Racing 2005,n,n,,Yes,y,,NA,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,,y,y,y,n
Ski Racing 2006,n,n,,Yes,y,,NA,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,n,y,,y,y,y,n
Slam Tennis,n,n,,No,y,,?,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,n,y,,y,y,y,n
Sonic Heroes ,y,n,,,NA,,n,4,The box art has an error that lists its max resolution as 720p when it is really 480p.,,,y,,NA,y,y,y,n
Soul Calibur II,y,Y (only when set to 4:3),,Yes (480p only),NA,,n,5,Supports widescreen in 480p but not in 720p (720p has to be disabled in the system to allow 480p only).,,,y,,NA,NA,y,y,n
Sphinx and the Cursed Mummy,y,n,,Yes,NA,,NA,4,The box art has an error that lists its max resolution as 720p when it is really 480p.,,,y,,NA,y,y,y,n
Spider-Man,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,n
SpongeBob SquarePants: Battle for Bikini Bottom,n,n,,No,y,,?,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,n,y,,y,y,y,partial
Star Wars: Battlefront,y,n,,Vert- crop,NA,,n,1,"Uses the vert- method, meaning the top and bottom of the 4:3 image are actually cropped, meaning less visible viewing area than when played in 4:3. ",,,y,,NA,y,y,y,n
Star Wars: Jedi Knight II: Jedi Outcast,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,n
Star Wars: Republic Commando,Only in 4x3,n,,Only in 480i,NA,,n,16,"The game does not support both widescreen and 480p at the same time; in fact with both options enabled, it will display a 4:3 480i image. Choose either to play in 480p or to play in 16:9. Selecting widescreen will result in 480i output.",,,y,y,NA,y,y,y,n
Starsky & Hutch,n,n,,Yes,y,,NA,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,n,y,,y,y,y,n
Still Life,y,n,,,NA,,n,4,The box art has an error that lists its max resolution as 720p when it is really 480p.,,,y,,NA,y,y,y,n
Stolen,n,n,,Yes,n,,NA,,,,,n,y,,y,y,y,n
Street Racing Syndicate,?,,,,,,,,,EXTERNAL LIST,EXTERNAL LIST,y,y,,y,y,y,n
Super Monkey Ball Deluxe,y,n,,Yes,NA,,NA,4,The box art has an error that lists its max resolution as 720p when it is really 480p.,,,y,,NA,y,y,y,n
Syberia,y,y,n (see issues),Yes,NA,NA,NA,26; 27,"1080i mode is 1080i upscaled from 480p.; 
The 1080i mode is used only if the 720p flag is disabled in the dashboard. The picture have also a wrong aspect ratio.",,,n,,NA,NA,NA,NA,
Teenage Mutant Ninja Turtles,n,n,,No,y,,y,19,Broken implementation. Set Xbox to 4:3 instead. ,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,y,,y,y,y,partial
Teenage Mutant Ninja Turtles 2: Battle Nexus,n,n,,No,y,,?,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,y,,y,y,y,n
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,n,n,,No,y,,?,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,y,,y,y,y,n
Teenage Mutant Ninja Turtles: Mutant Melee,y,n,,Issues,NA,,n,10,"Most of the game is automatically adjusted to appear in an aspect ratio of 4:3 while the monitor is set to 16:9. Sometimes, this adjustment seems to fail.",,,y,,,y,y,y,n
Tenchu: Return from Darkness,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,y
Tench 3,?,,,,,,,,,,,y,,,y,y,y,partial
Test Drive: Eve of Destruction,y,n,,Yes (menus in 4x3),NA,,n,8,"Although the game is presented in widescreen and even videos are adjusted to display properly, the menus are not. The menus' real aspect ratio is always 4:3.",,,y,,NA,y,y,y,n
The Bard's Tale,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,n,,NA,,,,
The Fairly OddParents: Breakin' da Rules,n,n,,,y,,?,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,,y,y,y,n
The Haunted Mansion,n,n,,No,y,,n,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,n,y,,y,y,y,n
The House of the Dead III,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,n
The King of Fighters: Maximum Impact,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,partial
The Lord of the Rings: The Fellowship of the Ring ,y,n,,Vert- crop,NA,,y,1,"Uses the vert- method, meaning the top and bottom of the 4:3 image are actually cropped, meaning less visible viewing area than when played in 4:3. ",18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,n
The Lord of the Rings: The Return of the King,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,partial
The Lord of the Rings: The Third Age,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,partial
The Matrix: Path of Neo,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,n
The Simpsons: Hit & Run,y,,,Yes,NA,y,NA,,,22,Working by force default.xbe to display the game in 720p (by using hex codes) and also widescreen (may need RAM or CPU upgrade to work and still might show minor graphical bugs),y,,NA,y,y,y,n
The Thing,n,n,,Yes,y,,NA,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,y,,y,y,y,n
TimeSplitters 2,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,n
Tom Clancy's Rainbow Six 3,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,n,,NA,y,y,y,partial
